"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como usuario ingreso a la página y cuando ingrese deseo ir a admin,job y work shift donde creare un turno y al mismo se le asignare empleados.","Crear un turno de empleados y añadir empleados al turno.","SUCCESS","2021-10-24T10:21:29.126-05:00[America/Bogota]","0.0","72.38"
"Yo como usuario cuando ingrese a la página deseo ir a usuarios y buscar por status.","Buscar usuarios del sistema mediante el Status","SUCCESS","2021-10-24T10:20:13.455-05:00[America/Bogota]","0.0","60.43"
"Yo como usuario quiero ingresar a la página con mi usuario y contraseña.","Inicio de sesión exitoso","SUCCESS","2021-10-24T10:15:48.536-05:00[America/Bogota]","0.0","62.68"
"Yo como usuario quiero ingresar a la página con mi usuario y contraseña.","Inicio  de sesión donde el password es inválido","SUCCESS","2021-10-24T10:16:52.341-05:00[America/Bogota]","0.0","31.12"
"Yo como usuario quiero ingresar a la página con mi usuario y contraseña.","Inicio  de sesión donde el usuario es inválido","SUCCESS","2021-10-24T10:17:24.472-05:00[America/Bogota]","0.0","31.07"
"Yo como usuario quiero ingresar a la página con mi usuario y contraseña.","Inicio  de sesión donde no se introducen credenciales","SUCCESS","2021-10-24T10:17:56.65-05:00[America/Bogota]","0.0","31.31"
